"","Subject","Activity","variable","value"
"1","1","LAYING","tBodyAcc-mean()-X",0.22159824394
"2","1","LAYING","tBodyAcc-mean()-X",0.281373403958333
"3","1","LAYING","tBodyAcc-mean()-X",0.275516852741935
"4","1","LAYING","tBodyAcc-mean()-X",0.263559214981481
"5","1","LAYING","tBodyAcc-mean()-X",0.278334325576923
"6","1","LAYING","tBodyAcc-mean()-X",0.248656520140351
"7","1","LAYING","tBodyAcc-mean()-X",0.250176694038462
"8","1","LAYING","tBodyAcc-mean()-X",0.261254282907407
"9","1","LAYING","tBodyAcc-mean()-X",0.2591955368
"10","1","LAYING","tBodyAcc-mean()-X",0.280230574137931
"11","1","LAYING","tBodyAcc-mean()-X",0.280592970877193
"12","1","LAYING","tBodyAcc-mean()-X",0.260113433
"13","1","LAYING","tBodyAcc-mean()-X",0.276716360483871
"14","1","LAYING","tBodyAcc-mean()-X",0.233275439803922
"15","1","LAYING","tBodyAcc-mean()-X",0.2894756525
"16","1","LAYING","tBodyAcc-mean()-X",0.274227162571429
"17","1","LAYING","tBodyAcc-mean()-X",0.269780085577465
"18","1","LAYING","tBodyAcc-mean()-X",0.274691576923077
"19","1","LAYING","tBodyAcc-mean()-X",0.272653733493976
"20","1","LAYING","tBodyAcc-mean()-X",0.239507882205882
"21","1","LAYING","tBodyAcc-mean()-X",0.271325472455556
"22","1","LAYING","tBodyAcc-mean()-X",0.279959721194444
"23","1","LAYING","tBodyAcc-mean()-X",0.274038007986111
"24","1","LAYING","tBodyAcc-mean()-X",0.272850494930556
"25","1","LAYING","tBodyAcc-mean()-X",0.250791828613699
"26","1","LAYING","tBodyAcc-mean()-X",0.271645864540789
"27","1","LAYING","tBodyAcc-mean()-X",0.274102492432432
"28","1","LAYING","tBodyAcc-mean()-X",0.2759134825
"29","1","LAYING","tBodyAcc-mean()-X",0.287295196811594
"30","1","LAYING","tBodyAcc-mean()-X",0.281033900571429
"31","1","SITTING","tBodyAcc-mean()-X",0.261237565425532
"32","1","SITTING","tBodyAcc-mean()-X",0.27708735173913
"33","1","SITTING","tBodyAcc-mean()-X",0.257197599134615
"34","1","SITTING","tBodyAcc-mean()-X",0.27153827992
"35","1","SITTING","tBodyAcc-mean()-X",0.273694139545455
"36","1","SITTING","tBodyAcc-mean()-X",0.276778487454545
"37","1","SITTING","tBodyAcc-mean()-X",0.284674637291667
"38","1","SITTING","tBodyAcc-mean()-X",0.267491472934783
"39","1","SITTING","tBodyAcc-mean()-X",0.24832674354
"40","1","SITTING","tBodyAcc-mean()-X",0.270612056481481
"41","1","SITTING","tBodyAcc-mean()-X",0.276590197358491
"42","1","SITTING","tBodyAcc-mean()-X",0.275007224901961
"43","1","SITTING","tBodyAcc-mean()-X",0.274328499591837
"44","1","SITTING","tBodyAcc-mean()-X",0.279990577037037
"45","1","SITTING","tBodyAcc-mean()-X",0.27290337979661
"46","1","SITTING","tBodyAcc-mean()-X",0.280768574492754
"47","1","SITTING","tBodyAcc-mean()-X",0.2773570196875
"48","1","SITTING","tBodyAcc-mean()-X",0.27727001877193
"49","1","SITTING","tBodyAcc-mean()-X",0.273830316164384
"50","1","SITTING","tBodyAcc-mean()-X",0.278045439090909
"51","1","SITTING","tBodyAcc-mean()-X",0.277539616823529
"52","1","SITTING","tBodyAcc-mean()-X",0.273583822709677
"53","1","SITTING","tBodyAcc-mean()-X",0.273351251617647
"54","1","SITTING","tBodyAcc-mean()-X",0.273475690147059
"55","1","SITTING","tBodyAcc-mean()-X",0.278541482461538
"56","1","SITTING","tBodyAcc-mean()-X",0.258243530166667
"57","1","SITTING","tBodyAcc-mean()-X",0.273941302571429
"58","1","SITTING","tBodyAcc-mean()-X",0.276977629444444
"59","1","SITTING","tBodyAcc-mean()-X",0.2771799775
"60","1","SITTING","tBodyAcc-mean()-X",0.268336081379032
"61","1","STANDING","tBodyAcc-mean()-X",0.278917629056604
"62","1","STANDING","tBodyAcc-mean()-X",0.277911472222222
"63","1","STANDING","tBodyAcc-mean()-X",0.280046513278689
"64","1","STANDING","tBodyAcc-mean()-X",0.280499745892857
"65","1","STANDING","tBodyAcc-mean()-X",0.282544390892857
"66","1","STANDING","tBodyAcc-mean()-X",0.280346248596491
"67","1","STANDING","tBodyAcc-mean()-X",0.282723539433962
"68","1","STANDING","tBodyAcc-mean()-X",0.279620986111111
"69","1","STANDING","tBodyAcc-mean()-X",0.282310057333333
"70","1","STANDING","tBodyAcc-mean()-X",0.276650300681818
"71","1","STANDING","tBodyAcc-mean()-X",0.277715562765957
"72","1","STANDING","tBodyAcc-mean()-X",0.277405834918033
"73","1","STANDING","tBodyAcc-mean()-X",0.277758431052632
"74","1","STANDING","tBodyAcc-mean()-X",0.280545613833333
"75","1","STANDING","tBodyAcc-mean()-X",0.278915803962264
"76","1","STANDING","tBodyAcc-mean()-X",0.283497402948718
"77","1","STANDING","tBodyAcc-mean()-X",0.277942503333333
"78","1","STANDING","tBodyAcc-mean()-X",0.278458805890411
"79","1","STANDING","tBodyAcc-mean()-X",0.27817226
"80","1","STANDING","tBodyAcc-mean()-X",0.278076904657534
"81","1","STANDING","tBodyAcc-mean()-X",0.27695224258427
"82","1","STANDING","tBodyAcc-mean()-X",0.279053861587302
"83","1","STANDING","tBodyAcc-mean()-X",0.277899323235294
"84","1","STANDING","tBodyAcc-mean()-X",0.280348883913043
"85","1","STANDING","tBodyAcc-mean()-X",0.278013701621622
"86","1","STANDING","tBodyAcc-mean()-X",0.281127035405405
"87","1","STANDING","tBodyAcc-mean()-X",0.279566921625
"88","1","STANDING","tBodyAcc-mean()-X",0.277795069113924
"89","1","STANDING","tBodyAcc-mean()-X",0.277965065846154
"90","1","STANDING","tBodyAcc-mean()-X",0.277112699152542
"91","1","WALKING","tBodyAcc-mean()-X",0.277330758736842
"92","1","WALKING","tBodyAcc-mean()-X",0.276426586440678
"93","1","WALKING","tBodyAcc-mean()-X",0.275567462068966
"94","1","WALKING","tBodyAcc-mean()-X",0.278582015166667
"95","1","WALKING","tBodyAcc-mean()-X",0.27784234625
"96","1","WALKING","tBodyAcc-mean()-X",0.283658868070175
"97","1","WALKING","tBodyAcc-mean()-X",0.275592961754386
"98","1","WALKING","tBodyAcc-mean()-X",0.27468631
"99","1","WALKING","tBodyAcc-mean()-X",0.278502842115385
"100","1","WALKING","tBodyAcc-mean()-X",0.278574076603774
"101","1","WALKING","tBodyAcc-mean()-X",0.271821892881356
"102","1","WALKING","tBodyAcc-mean()-X",0.2771286656
"103","1","WALKING","tBodyAcc-mean()-X",0.275883130350877
"104","1","WALKING","tBodyAcc-mean()-X",0.271959598644068
"105","1","WALKING","tBodyAcc-mean()-X",0.273899207962963
"106","1","WALKING","tBodyAcc-mean()-X",0.276023564509804
"107","1","WALKING","tBodyAcc-mean()-X",0.272341855245902
"108","1","WALKING","tBodyAcc-mean()-X",0.273887758571429
"109","1","WALKING","tBodyAcc-mean()-X",0.273931172307692
"110","1","WALKING","tBodyAcc-mean()-X",0.272589336470588
"111","1","WALKING","tBodyAcc-mean()-X",0.279183526730769
"112","1","WALKING","tBodyAcc-mean()-X",0.27886459
"113","1","WALKING","tBodyAcc-mean()-X",0.273211884237288
"114","1","WALKING","tBodyAcc-mean()-X",0.276980816034483
"115","1","WALKING","tBodyAcc-mean()-X",0.278992759054054
"116","1","WALKING","tBodyAcc-mean()-X",0.279264443728814
"117","1","WALKING","tBodyAcc-mean()-X",0.276849485438596
"118","1","WALKING","tBodyAcc-mean()-X",0.281228223888889
"119","1","WALKING","tBodyAcc-mean()-X",0.271999916792453
"120","1","WALKING","tBodyAcc-mean()-X",0.276406758
"121","1","WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.289188320408163
"122","1","WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.27761534806383
"123","1","WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.292423484693878
"124","1","WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.279965329555556
"125","1","WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.29354392712766
